CV_Interarrival,Arrival_Rate,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high,jobs_in_system_mean,jobs_in_system_std_dev,jobs_in_system_hw,jobs_in_system_ci_low,jobs_in_system_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,throughput_mean,throughput_std_dev,throughput_hw,throughput_ci_low,throughput_ci_high,diverted_jobs_mean,diverted_jobs_std_dev,diverted_jobs_hw,diverted_jobs_ci_low,diverted_jobs_ci_high,avg_servers_mean,avg_servers_std_dev,avg_servers_hw,avg_servers_ci_low,avg_servers_ci_high,scale_out_actions_mean,scale_out_actions_std_dev,scale_out_actions_hw,scale_out_actions_ci_low,scale_out_actions_ci_high,scale_in_actions_mean,scale_in_actions_std_dev,scale_in_actions_hw,scale_in_actions_ci_low,scale_in_actions_ci_high,scale_up_actions_mean,scale_up_actions_std_dev,scale_up_actions_hw,scale_up_actions_ci_low,scale_up_actions_ci_high,scale_down_actions_mean,scale_down_actions_std_dev,scale_down_actions_hw,scale_down_actions_ci_low,scale_down_actions_ci_high,spike_avg_speed_mean,spike_avg_speed_std_dev,spike_avg_speed_hw,spike_avg_speed_ci_low,spike_avg_speed_ci_high,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high
4.0,3.5,2.291696,0.375357,0.023017,2.268678,2.314713,8.095856,1.689331,0.103592,7.992264,8.199448,0.402213,0.027216,0.001669,0.400544,0.403882,3.513331,0.224998,0.013797,3.499534,3.527128,26.999023,27.992930,1.716566,25.282457,28.715590,1.287294,0.246494,0.015115,1.272179,1.302409,6.979492,4.204519,0.257827,6.721665,7.237319,6.979492,4.155408,0.254816,6.724677,7.234308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.005954,0.007846,0.000481,0.005473,0.006436
4.0,5.0,3.393888,0.271371,0.016641,3.377247,3.410529,17.077817,2.208196,0.135410,16.942407,17.213226,0.515314,0.034685,0.002127,0.513187,0.517441,5.019060,0.321560,0.019718,4.999341,5.038778,329.456055,101.453561,6.221277,323.234778,335.677332,1.541363,0.266370,0.016334,1.525028,1.557697,11.244141,2.974142,0.182379,11.061762,11.426519,11.244141,2.909681,0.178426,11.065715,11.422566,0.367187,0.626818,0.038437,0.328750,0.405625,0.367187,0.629929,0.038628,0.328559,0.405816,1.004688,0.008134,0.000499,1.004189,1.005186,0.099109,0.039125,0.002399,0.096710,0.101508
4.0,6.5,3.625600,0.218490,0.013398,3.612202,3.638998,23.684130,2.609092,0.159993,23.524136,23.844123,0.630052,0.043219,0.002650,0.627402,0.632702,6.524712,0.417501,0.025602,6.499111,6.550314,745.896484,151.470747,9.288402,736.608082,755.184887,1.599590,0.271843,0.016670,1.582920,1.616260,10.594727,2.392317,0.146700,10.448026,10.741427,10.594727,2.372210,0.145467,10.449259,10.740194,3.781250,1.724698,0.105761,3.675489,3.887011,3.782227,1.709738,0.104844,3.677383,3.887070,1.061956,0.029991,0.001839,1.060117,1.063796,0.257063,0.066367,0.004070,0.252994,0.261133
4.0,8.0,3.675573,0.232091,0.014232,3.661341,3.689806,29.539530,3.080381,0.188893,29.350637,29.728424,0.725321,0.046208,0.002834,0.722487,0.728154,8.030111,0.511681,0.031377,7.998734,8.061488,1072.652344,173.902008,10.663919,1061.988425,1083.316263,1.610581,0.274840,0.016854,1.593728,1.627435,9.388672,2.283287,0.140014,9.248657,9.528686,9.388672,2.061448,0.126411,9.262261,9.515083,8.237305,1.896989,0.116326,8.120979,8.353631,8.238281,1.902784,0.116681,8.121600,8.354963,1.166499,0.042721,0.002620,1.163879,1.169118,0.403640,0.084323,0.005171,0.398470,0.408811
4.0,9.5,3.776082,0.246926,0.015142,3.760940,3.791224,36.053783,4.091106,0.250872,35.802910,36.304655,0.800083,0.046634,0.002860,0.797223,0.802943,9.536036,0.609834,0.037396,9.498640,9.573432,1269.200195,202.238093,12.401528,1256.798667,1281.601723,1.659205,0.294173,0.018039,1.641166,1.677244,8.929688,2.141371,0.131312,8.798376,9.060999,8.929688,2.060886,0.126376,8.803311,9.056064,9.974609,1.855835,0.113802,9.860807,10.088412,9.974609,1.864768,0.114350,9.860259,10.088960,1.249441,0.049174,0.003015,1.246426,1.252457,0.532332,0.098964,0.006069,0.526263,0.538400
4.0,11.0,3.940120,0.290849,0.017835,3.922285,3.957955,43.585759,5.358005,0.328561,43.257198,43.914319,0.856448,0.044716,0.002742,0.853706,0.859190,11.041352,0.702699,0.043090,10.998262,11.084443,1347.699219,234.246567,14.364333,1333.334885,1362.063552,1.738299,0.324195,0.019880,1.718419,1.758179,8.776367,2.059190,0.126272,8.650095,8.902640,8.776367,1.906871,0.116932,8.659435,8.893299,9.582031,2.037073,0.124916,9.457115,9.706947,9.582031,2.016333,0.123644,9.458387,9.705676,1.308582,0.062225,0.003816,1.304766,1.312398,0.634707,0.111731,0.006852,0.627856,0.641559
4.0,12.5,4.120289,0.311757,0.019117,4.101172,4.139407,51.802861,6.699299,0.410811,51.392050,52.213671,0.891260,0.039619,0.002429,0.888830,0.893689,12.546699,0.796410,0.048837,12.497862,12.595536,1349.106445,256.068416,15.702480,1333.403965,1364.808926,1.882468,0.360636,0.022115,1.860354,1.904583,8.895508,1.920670,0.117778,8.777730,9.013286,8.893555,1.801324,0.110460,8.783095,9.004014,8.361328,2.063581,0.126542,8.234786,8.487870,8.362305,2.021049,0.123934,8.238371,8.486238,1.352165,0.072826,0.004466,1.347699,1.356631,0.699905,0.114526,0.007023,0.692882,0.706928
4.0,14.0,4.285292,0.324699,0.019911,4.265381,4.305203,60.313783,7.646273,0.468880,59.844903,60.782663,0.913043,0.037863,0.002322,0.910721,0.915364,14.052924,0.895914,0.054939,13.997985,14.107863,1298.014648,285.855945,17.529094,1280.485554,1315.543743,2.061037,0.440064,0.026985,2.034051,2.088022,9.002930,1.732613,0.106246,8.896683,9.109176,9.003906,1.604607,0.098397,8.905509,9.102303,6.948242,2.088992,0.128100,6.820142,7.076342,6.948242,2.039746,0.125080,6.823162,7.073322,1.390450,0.092109,0.005648,1.384802,1.396099,0.739453,0.126925,0.007783,0.731670,0.747236
8.0,2.0,1.187092,0.262594,0.016103,1.170989,1.203195,2.430695,0.719391,0.044114,2.386581,2.474809,0.247690,0.033856,0.002076,0.245614,0.249766,2.028970,0.257731,0.015804,2.013165,2.044774,0.118164,1.096828,0.067259,0.050905,0.185423,1.121985,0.221973,0.013612,1.108374,1.135597,2.756836,3.690157,0.226286,2.530550,2.983122,2.756836,3.659566,0.224410,2.532426,2.981246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000019,0.000356,0.000022,-0.000003,0.000041
8.0,3.5,2.821105,0.338835,0.020778,2.800327,2.841883,10.101153,2.240509,0.137391,9.963762,10.238544,0.359068,0.044209,0.002711,0.356357,0.361779,3.550528,0.450230,0.027609,3.522919,3.578136,150.440430,80.400636,4.930282,145.510148,155.370711,1.865912,0.463271,0.028408,1.837503,1.894320,15.221680,4.592982,0.281648,14.940031,15.503328,15.221680,4.486613,0.275126,14.946554,15.496805,0.014648,0.128074,0.007854,0.006795,0.022502,0.014648,0.128074,0.007854,0.006795,0.022502,1.000133,0.001186,0.000073,1.000060,1.000206,0.033942,0.023453,0.001438,0.032504,0.035381
