ScaleIn_Limit,Cooldown_S,Lambda,N_avg,S_avg,U_avg,C_tot,R0
1.0,50.0,5.0,1.4497,1.0144,0.0748,3.7000,3.0677
1.0,50.0,6.5,1.6752,1.1162,0.1519,4.3574,3.1375
1.0,50.0,8.0,1.9852,1.1562,0.1802,5.1713,3.0925
1.0,50.0,9.5,2.4236,1.1137,0.1406,6.2156,3.0249
1.0,50.0,11.0,2.8380,1.1088,0.1016,7.2077,3.0329
1.0,50.0,12.5,3.2311,1.1132,0.0888,8.1766,3.0275
1.0,50.0,14.0,3.6325,1.0944,0.0816,9.1706,3.0190
2.0,50.0,2.0,1.0049,1.0000,0.0000,2.5122,0.7921
2.0,50.0,3.5,1.1643,1.0000,0.0050,2.9159,2.2439
2.0,50.0,5.0,1.4057,1.0147,0.0788,3.5942,3.1903
2.0,50.0,6.5,1.5981,1.1343,0.1755,4.1942,3.3509
2.0,50.0,8.0,1.8286,1.2086,0.2328,4.8530,3.3953
2.0,50.0,9.5,2.1605,1.1932,0.2484,5.6975,3.4337
2.0,50.0,11.0,2.5568,1.1882,0.2125,6.6447,3.5185
2.0,50.0,12.5,2.9168,1.2000,0.2097,7.5437,3.6341
2.0,50.0,14.0,3.2997,1.1854,0.2013,8.4880,3.7270
5.0,50.0,2.0,1.0045,1.0000,0.0000,2.5111,0.7922
5.0,50.0,3.5,1.1474,1.0000,0.0051,2.8737,2.2780
5.0,50.0,5.0,1.3534,1.0164,0.0858,3.4705,3.3497
5.0,50.0,6.5,1.4753,1.1617,0.2033,3.9245,3.6567
5.0,50.0,8.0,1.5898,1.2787,0.3008,4.3593,3.8637
5.0,50.0,9.5,1.7316,1.3130,0.3956,4.8483,4.1223
5.0,50.0,11.0,1.9185,1.3310,0.4688,5.4201,4.4611
5.0,50.0,12.5,2.0940,1.3698,0.5567,5.9976,4.9188
5.0,50.0,14.0,2.3813,1.3901,0.5771,6.7556,5.3549
6.0,50.0,2.0,1.0044,1.0000,0.0000,2.5110,0.7922
6.0,50.0,3.5,1.1419,1.0000,0.0052,2.8600,2.2848
6.0,50.0,5.0,1.3372,1.0167,0.0869,3.4313,3.3930
6.0,50.0,6.5,1.4499,1.1650,0.2095,3.8688,3.7267
6.0,50.0,8.0,1.5603,1.2900,0.3117,4.3029,3.9438
6.0,50.0,9.5,1.6748,1.3280,0.4148,4.7378,4.2423
6.0,50.0,11.0,1.8328,1.3493,0.5109,5.2714,4.5817
6.0,50.0,12.5,1.9878,1.3951,0.6064,5.8154,5.1281
6.0,50.0,14.0,2.1873,1.4400,0.6625,6.4221,5.7580
1.0,100.0,2.0,1.0070,1.0000,0.0000,2.5175,0.7904
1.0,100.0,3.5,1.1834,1.0000,0.0049,2.9634,2.1644
1.0,100.0,5.0,1.4424,1.0251,0.0703,3.6781,2.9844
1.0,100.0,6.5,1.6831,1.1835,0.1325,4.3646,3.0697
1.0,100.0,8.0,2.0334,1.1657,0.1338,5.2393,3.0020
1.0,100.0,9.5,2.4816,1.1171,0.0964,6.3116,3.0036
1.0,100.0,11.0,2.8770,1.1541,0.0701,7.2735,3.0339
1.0,100.0,12.5,3.2756,1.1397,0.0681,8.2666,3.0434
1.0,100.0,14.0,3.6743,1.0974,0.0560,9.2473,2.9480
2.0,100.0,2.0,1.0070,1.0000,0.0000,2.5174,0.7904
2.0,100.0,3.5,1.1808,1.0000,0.0049,2.9568,2.1682
2.0,100.0,5.0,1.4194,1.0257,0.0732,3.6236,3.0497
2.0,100.0,6.5,1.6223,1.2036,0.1485,4.2343,3.2652
2.0,100.0,8.0,1.8812,1.2300,0.1850,4.9306,3.3653
2.0,100.0,9.5,2.2647,1.1898,0.1749,5.8700,3.4489
2.0,100.0,11.0,2.6761,1.2137,0.1609,6.8855,3.5528
2.0,100.0,12.5,3.0478,1.2089,0.1516,7.8029,3.7168
2.0,100.0,14.0,3.4109,1.1849,0.1510,8.7062,3.8157
5.0,100.0,2.0,1.0069,1.0000,0.0000,2.5173,0.7904
5.0,100.0,3.5,1.1787,1.0000,0.0049,2.9516,2.1715
5.0,100.0,5.0,1.3908,1.0283,0.0763,3.5555,3.1227
5.0,100.0,6.5,1.5227,1.2321,0.1714,4.0179,3.5185
5.0,100.0,8.0,1.6629,1.3170,0.2510,4.4877,3.8602
5.0,100.0,9.5,1.8114,1.3195,0.3436,4.9820,4.2271
5.0,100.0,11.0,2.0003,1.3505,0.4553,5.6156,4.6981
5.0,100.0,12.5,2.3049,1.3787,0.4870,6.4337,5.3592
5.0,100.0,14.0,2.5923,1.3906,0.5137,7.1951,6.2154
6.0,100.0,2.0,1.0069,1.0000,0.0000,2.5173,0.7904
6.0,100.0,3.5,1.1784,1.0000,0.0049,2.9509,2.1718
6.0,100.0,5.0,1.3818,1.0287,0.0767,3.5333,3.1420
6.0,100.0,6.5,1.4993,1.2399,0.1768,3.9673,3.5942
6.0,100.0,8.0,1.6277,1.3307,0.2627,4.4188,3.9500
6.0,100.0,9.5,1.7740,1.3366,0.3586,4.9143,4.3129
6.0,100.0,11.0,1.9187,1.3715,0.4903,5.4693,4.8231
6.0,100.0,12.5,2.1777,1.4028,0.5540,6.2214,5.6541
6.0,100.0,14.0,2.3952,1.4461,0.6063,6.8648,6.7888
